ag0,sgtf,N,Nt,mean,lo,hi
5,0,520,12388,0.0419761059089441,0.0385155431342864,0.0455767294345806
5,1,2577,51979,0.0495777140768387,0.0477281051723183,0.0514601523246823
15,0,1669,12388,0.134727155311592,0.128771097615724,0.140794921657873
15,1,6906,51979,0.132861347852017,0.129956841364016,0.135792613961816
25,0,2322,12388,0.187439457539554,0.180615411602145,0.194359092636934
25,1,9030,51979,0.173724003924662,0.170478888992172,0.176992900180366
35,0,2343,12388,0.189134646432031,0.18228653903287,0.196077824583194
35,1,9841,51979,0.189326458762192,0.185969913243351,0.192705648400116
45,0,2222,12388,0.179367129480142,0.172660621313654,0.18617169540509
45,1,9908,51979,0.190615440851113,0.187250090614151,0.194003341257937
55,0,1946,12388,0.157087504036164,0.150732659133516,0.163547219916474
55,1,8216,51979,0.15806383347121,0.154940255815935,0.161212333855801
65,0,907,12388,0.0732160154988699,0.0686947681806026,0.0778677782882332
65,1,3625,51979,0.0697397025721926,0.0675657960548674,0.0719449691642428
75,0,459,12388,0.0370519857927026,0.0337972759539929,0.0404482595451838
75,1,1876,51979,0.0360914984897747,0.0345050467661922,0.0377117621569824
