WEEK,COUNTRY,REGION,B117,TOTAL
45,DENMARK,Hovedstaden,0,656
46,DENMARK,Hovedstaden,4,420
47,DENMARK,Hovedstaden,0,588
48,DENMARK,Hovedstaden,3,679
49,DENMARK,Hovedstaden,0,825
50,DENMARK,Hovedstaden,2,892
51,DENMARK,Hovedstaden,3,753
52,DENMARK,Hovedstaden,8,774
45,DENMARK,Midtjylland,0,283
46,DENMARK,Midtjylland,0,327
47,DENMARK,Midtjylland,0,297
48,DENMARK,Midtjylland,0,291
49,DENMARK,Midtjylland,0,332
50,DENMARK,Midtjylland,0,360
51,DENMARK,Midtjylland,0,524
52,DENMARK,Midtjylland,5,221
45,DENMARK,Nordjylland,0,238
46,DENMARK,Nordjylland,0,305
47,DENMARK,Nordjylland,0,240
48,DENMARK,Nordjylland,0,169
49,DENMARK,Nordjylland,3,64
50,DENMARK,Nordjylland,7,92
51,DENMARK,Nordjylland,9,254
52,DENMARK,Nordjylland,12,169
45,DENMARK,Sjælland,0,181
46,DENMARK,Sjælland,0,132
47,DENMARK,Sjælland,0,143
48,DENMARK,Sjælland,0,165
49,DENMARK,Sjælland,0,246
50,DENMARK,Sjælland,0,214
51,DENMARK,Sjælland,3,310
52,DENMARK,Sjælland,10,193
45,DENMARK,Syddanmark,0,200
46,DENMARK,Syddanmark,0,168
47,DENMARK,Syddanmark,0,241
48,DENMARK,Syddanmark,0,195
49,DENMARK,Syddanmark,0,208
50,DENMARK,Syddanmark,1,431
51,DENMARK,Syddanmark,4,354
52,DENMARK,Syddanmark,1,225
