contrast,diff_logistic_growth_rate,SE,z.ratio,p.value
South East - London,-0.00659410859208376,0.0047025544909739,-1.40223969860222,8.97e-01
South East - East of England,0.00583096044249136,0.00396360671107167,1.47112487881392,8.69e-01
South East - South West,-0.00401607201457958,0.0081310690510604,-0.493916850214896,1.00e+00
South East - Midlands,-0.0260305588979572,0.00578699010558392,-4.49811705619473,2.36e-04
South East - North East and Yorkshire,-0.0283977976760066,0.00614736352489658,-4.61950843821041,1.33e-04
South East - Scotland,-0.045257838571252,0.0128298245513596,-3.52754929656898,1.25e-02
South East - North West,-0.0468917191198406,0.00797276492489837,-5.88148773500158,1.46e-07
South East - Wales,-0.0158860112032925,0.00657592067496672,-2.415785102726,2.75e-01
London - East of England,0.0124250690345751,0.00473041197560534,2.62663571347506,1.75e-01
London - South West,0.00257803657750419,0.00853362201796311,0.302103441197357,1.00e+00
London - Midlands,-0.0194364503058734,0.00633514238426996,-3.06803685330479,5.52e-02
London - North East and Yorkshire,-0.0218036890839229,0.0066708840910862,-3.26848567389404,2.99e-02
London - Scotland,-0.0386637299791683,0.0130911847386609,-2.9534171849998,7.66e-02
London - North West,-0.0402976105277568,0.00837827961018105,-4.80977150473568,5.30e-05
London - Wales,-0.00929190261120876,0.00706541804025127,-1.31512425142764,9.27e-01
East of England - South West,-0.00984703245707094,0.00814959926844144,-1.20828425211073,9.55e-01
East of England - Midlands,-0.0318615193404485,0.00581057226098129,-5.4833702963136,1.49e-06
East of England - North East and Yorkshire,-0.034228758118498,0.00617038097765403,-5.54726819015829,1.04e-06
East of England - Scotland,-0.0510887990137434,0.0128430502819974,-3.97793342640391,2.26e-03
East of England - North West,-0.0527226795623319,0.00799104249082334,-6.5977223400923,1.50e-09
East of England - Wales,-0.0217169716457839,0.0065979442972372,-3.29147544559865,2.78e-02
South West - Midlands,-0.0220144868833776,0.0091742438469767,-2.39959687692761,2.84e-01
South West - North East and Yorkshire,-0.0243817256614271,0.00940372174736988,-2.59277404377117,1.89e-01
South West - Scotland,-0.0412417665566725,0.0146653190773055,-2.81219701659911,1.12e-01
South West - North West,-0.042875647105261,0.0106862927025444,-4.01220968756099,1.97e-03
South West - Wales,-0.0118699391887129,0.00968898552038101,-1.22509618408906,9.51e-01
Midlands - North East and Yorkshire,-0.00236723877804948,0.00747413473489624,-0.316724124198217,1.00e+00
Midlands - Scotland,-0.0192272796732949,0.0135158494516672,-1.42257279071151,8.89e-01
Midlands - North West,-0.0208611602218834,0.00903064357389666,-2.31004136650717,3.36e-01
Midlands - Wales,0.0101445476946646,0.00782806218751388,1.29592068275156,9.33e-01
North East and Yorkshire - Scotland,-0.0168600408952454,0.0136692188743401,-1.23343118946578,9.49e-01
North East and Yorkshire - North West,-0.0184939214438339,0.00927044672891531,-1.99493314449991,5.47e-01
North East and Yorkshire - Wales,0.0125117864727141,0.00809867163798002,1.5449183559978,8.34e-01
Scotland - North West,-0.00163388054858852,0.0145830708708655,-0.112039539755151,1.00e+00
Scotland - Wales,0.0293718273679595,0.0138678660429298,2.11797743625696,4.61e-01
North West - Wales,0.031005707916548,0.00955578097807369,3.24470684161687,3.22e-02
